# IA 0: W_up W_down
-128    644.2   -166.2510     12.00850   -27.32860    99.5423   -74.42380    -1198.33000
-1       -2.6     51.8678      1.00819   -30.62510    85.5748    -9.01556        2.74653
# IA 1: W_up W_down
   0    199.8      0           0          -8.74410   -43.5157   -135.70100    -451.17500
 -68   -123.6      0           0          -5.82508    19.2405   -143.82000     119.56300
# IA 2: W_up W_down
   0    199.8   -31.20720    -17.66770    -8.74410   -43.5157   -135.70100    -451.17500
 -68   -123.6     1.29211     38.03280    -5.82508    19.2405   -143.82000     119.56300
# IA 3: W_up W_down
-248  -2319.062   58.0342     82.41930    -4.17163   -13.4985   -119.84500     345.77600
-390   2216.8    -48.9395    -50.18210    -5.03074    18.7431   -489.70500    -414.06100
# IA 4: W_up W_down
 185    -69.4      0           0         -55.59740   -36.7335    -95.71310    -176.88200
 174    -92.2      0           0         -62.34150    18.6742    -59.36490     317.80500
# IA 5: W_up W_down
 114    566.0      2.55401    13.34970   -31.50070   -59.0554     13.81800    -255.62300
 251   -785.2    109.14500   148.47100   -33.06440   -45.5554   -243.01100    1010.17000
